hgnc,hgncMatch
PPP2R5B,ENST00000164133
PYGM,ENST00000164139
BCL3,ENST00000164227
KCNAB2,ENST00000378083
PIGB,ENST00000164305
PDZD4,ENST00000164640
PRLH,ENST00000165524
REEP1,ENST00000538924
FGF22,ENST00000215530
FSTL3,ENST00000166139
EPHA8,ENST00000166244
TRIP13,ENST00000166345
P4HA2,ENST00000401867
VASH1,ENST00000167106
PDCD2,ENST00000541970
LLGL2,ENST00000392550
KRT14,ENST00000167586
KRT20,ENST00000167588
ARHGEF10L,ENST00000361221
SPP2,ENST00000168148
HSD17B10,ENST00000168216
FGF4,ENST00000168712
RGS11,ENST00000397770
NMRK2,ENST00000168977
MASP1,ENST00000296280
ST6GAL1,ENST00000169298
TIMM21,ENST00000169551
CACNG5,ENST00000533854
BPIFB2,ENST00000170150
REXO1,ENST00000170168
MKRN2,ENST00000170447
GPATCH1,ENST00000170564
IL4R,ENST00000395762
RAPGEF3,ENST00000449771
KEAP1,ENST00000171111
RDH8,ENST00000591589
P2RY10,ENST00000171757
TNS1,ENST00000171887
NGFR,ENST00000172229
NEB,ENST00000397345
NTN1,ENST00000173229
ISOC1,ENST00000173527
TRO,ENST00000173898
MNT,ENST00000174618
TRPV1,ENST00000571088
AP3M2,ENST00000518421
LAPTM4A,ENST00000175091
ADAM7,ENST00000175238
ASNS,ENST00000175506
PTPN18,ENST00000175756
DRD4,ENST00000176183
SCT,ENST00000176195
ALDH3A2,ENST00000339618
STK10,ENST00000176763
ALPK1,ENST00000458497
TBX21,ENST00000177694
MRPS34,ENST00000397375
CA12,ENST00000178638
MAP2K5,ENST00000178640
C12orf5,ENST00000179259
BAZ2A,ENST00000551812
STXBP5,ENST00000321680
FGF20,ENST00000180166
MTMR7,ENST00000180173
CPB2,ENST00000181383
FAM107B,ENST00000181796
CDK13,ENST00000181839
CRYBG3,
TSPAN32,ENST00000182290
FAR2,ENST00000536681
TRAM2,ENST00000182527
CLDN18,ENST00000183605
ROPN1,ENST00000184183
NDUFB4,ENST00000184266
HEATR6,ENST00000184956
ERLEC1,ENST00000185150
CLIC5,ENST00000185206
ASAH2B,ENST00000374006
TMEM131,ENST00000186436
ARPP21,ENST00000458225
CEACAM21,ENST00000401445
TMEM38A,ENST00000187762
PVR,ENST00000425690
ZNF222,ENST00000391960
PSG6,ENST00000292125
ACTR6,ENST00000188312
SLC25A3,ENST00000228318
NR1H4,ENST00000551379
FAP,ENST00000188790
NFKB2,ENST00000369966
MUSK,ENST00000374448
DMRT3,ENST00000190165
OSBPL6,ENST00000392505
WISP2,ENST00000372868
CTSA,ENST00000372484
ANKRD16,ENST00000380094
GAL3ST2,ENST00000192314
UHRF1BP1,ENST00000192788
MOK,ENST00000361847
OSTM1,ENST00000193322
IMPG2,ENST00000193391
ACTN1,ENST00000394419
NAIP,ENST00000517649
KIAA0141,ENST00000432126
SLC13A1,ENST00000194130
PCDHB4,ENST00000194152
PCDHB2,ENST00000194155
HSPB11,ENST00000194214
STRADB,ENST00000194530
FAM135A,ENST00000418814
COBLL1,ENST00000342193
DLG3,ENST00000374360
SEMA5B,ENST00000451055
C4orf6,ENST00000195455
SNAP91,ENST00000439399
PLOD1,ENST00000196061
TDRD3,ENST00000535286
OXCT1,ENST00000196371
ZNF324,ENST00000536459
ZNF416,ENST00000196489
RPS5,ENST00000596046
KIAA1467,ENST00000197268
PILRA,ENST00000198536
CPNE3,ENST00000521271
RRN3,ENST00000198767
MOGAT2,ENST00000198801
CHERP,ENST00000546361
AQP2,ENST00000199280
DIMT1,ENST00000199320
EIF2AK1,ENST00000199389
NME8,ENST00000199447
EPDR1,ENST00000199448
MRPL28,ENST00000199706
HBQ1,ENST00000199708
CEACAM6,ENST00000199764
RBM22,ENST00000199814
HSD17B2,ENST00000199936
MAP2,ENST00000360351
ZW10,ENST00000200135
ITGB4,ENST00000200181
CCL7,ENST00000378569
PPP1R15A,ENST00000200453
TRIP6,ENST00000200457
ADAM11,ENST00000200557
LAMP2,ENST00000434600
SLC22A4,ENST00000200652
CETP,ENST00000200676
MT3,ENST00000200691
PTHLH,ENST00000395872
TFAP2C,ENST00000201031
SULT2B1,ENST00000201586
EPS8L1,ENST00000201647
CACNB4,ENST00000539935
C20orf112,ENST00000359676
DNMT3B,ENST00000328111
REM1,ENST00000201979
PDRG1,ENST00000202017
EPB41L1,ENST00000338074
PPP1R13B,ENST00000202556
SIGLEC1,ENST00000344754
TGM6,ENST00000202625
RALGAPA2,ENST00000202677
RPL6,ENST00000424576
ESF1,ENST00000202816
SLC8B1,ENST00000552014
TMEM230,ENST00000342308
OAS1,ENST00000445409
SIRT4,ENST00000202967
TRMT6,ENST00000203001
HAUS5,ENST00000203166
UQCRC1,ENST00000203407
GMIP,ENST00000203556
RBM41,ENST00000372479
LAG3,ENST00000203629
MLF2,ENST00000203630
OTUB2,ENST00000203664
LTBP4,
NDUFB2,ENST00000476279
TFAP4,ENST00000204517
PDCD7,ENST00000204549
SPG21,ENST00000204566
CHRD,ENST00000204604
THPO,ENST00000204615
FLT3LG,ENST00000594009
GNPTG,ENST00000204679
GOLGA3,ENST00000204726
CD209,ENST00000315599
EFNB1,ENST00000204961
GLG1,ENST00000205061
PLEKHG2,ENST00000409794
DLL3,ENST00000205143
NAT14,ENST00000205194
AASDH,ENST00000205214
LAMB4,ENST00000388781
DLD,ENST00000205402
ABCC6,ENST00000205557
CMTM6,ENST00000205636
MYO15A,ENST00000205890
APOH,ENST00000205948
SPAG7,ENST00000206020
ESR1,ENST00000440973
RGS17,ENST00000367225
TMEM101,ENST00000589334
CCDC80,ENST00000206423
CMA1,ENST00000250378
PSME1,ENST00000382708
HAUS4,ENST00000206474
CEBPE,ENST00000206513
OSGEP,ENST00000206542
SLC22A17,ENST00000397267
G2E3,ENST00000206595
RPGRIP1,ENST00000400017
TGM1,ENST00000206765
TBX15,ENST00000207157
MYL6B,ENST00000553066
TEKT2,ENST00000207457
UNC13D,ENST00000207549
COMT,ENST00000361682
MICAL3,ENST00000441493
VNN3,
XYLB,ENST00000207870
OR1I1,ENST00000209540
ADH7,ENST00000476959
ADH1A,ENST00000209668
KRT23,ENST00000209718
CDC6,ENST00000209728
AAAS,ENST00000209873
CBX5,ENST00000209875
KLHL20,ENST00000209884
FMO2,ENST00000441535
DHPS,ENST00000210060
RAB26,ENST00000210187
PTBP3,ENST00000458258
PSMD5,ENST00000210313
NANS,ENST00000210444
SEMA4G,ENST00000210633
TPSD1,ENST00000211076
GSTA3,ENST00000211122
MAPK13,ENST00000211287
TMEM14A,ENST00000211314
BAG6,ENST00000375964
PRRT1,ENST00000211413
LST1,ENST00000376093
ZNF184,ENST00000211936
VCL,ENST00000211998
SIRT1,ENST00000212015
TGFBR3,ENST00000212355
TMED1,ENST00000214869
MZF1,ENST00000215057
OCEL1,ENST00000215061
CATSPERG,ENST00000409235
PSMD8,ENST00000215071
STX1B,ENST00000215095
BCL7C,ENST00000215115
EFNA2,ENST00000215368
ATP5D,ENST00000215375
C19orf26,ENST00000590083
PCDH11Y,ENST00000362095
AMELY,ENST00000215479
C19orf77,ENST00000215531
IGFALS,ENST00000415638
MARCH2,ENST00000602117
NDUFB7,ENST00000215565
TECR,ENST00000215567
TIMM13,ENST00000215570
CDC34,ENST00000215574
MISP,ENST00000215582
POLR2E,ENST00000215587
GADD45B,ENST00000215631
MADCAM1,ENST00000215637
MAPK12,ENST00000215659
SERPIND1,ENST00000215727
SNAP29,ENST00000215730
LZTR1,ENST00000215739
THAP7,ENST00000215742
MMP11,ENST00000215743
MIF,ENST00000215754
DDTL,ENST00000215770
GSTT2,ENST00000215780
OSM,ENST00000215781
TBC1D10A,ENST00000403477
SF3A1,ENST00000215793
USP18,ENST00000215794
RNF215,ENST00000382363
SEC14L3,ENST00000215812
SNRPD3,ENST00000215829
MAPK1,ENST00000215832
TCN2,ENST00000215838
CRYBB3,ENST00000215855
MORC2,ENST00000215862
SLC25A1,ENST00000215882
PLA2G3,ENST00000215885
LGALS2,ENST00000215886
PDXP,ENST00000215904
ASPHD2,ENST00000215906
LGALS1,ENST00000215909
PIK3IP1,ENST00000215912
SRRD,ENST00000215917
PATZ1,ENST00000266269
CRYBB1,ENST00000215939
ANKRD54,ENST00000215941
NHP2L1,ENST00000401959
MICALL1,ENST00000215957
CENPM,ENST00000215980
KDELR3,ENST00000409006
DMC1,ENST00000216024
HSCB,ENST00000216027
CBY1,ENST00000396811
TOMM22,ENST00000216034
RTDR1,ENST00000216036
XBP1,ENST00000216037
RTCB,ENST00000216038
JOSD1,ENST00000216039
GTPBP1,ENST00000216044
PPP6R2,ENST00000395741
SUN2,ENST00000405018
DNAL4,ENST00000216068
C22orf31,ENST00000216071
MIOX,ENST00000216075
LMF2,ENST00000474879
CBX6,ENST00000407418
RHBDD3,ENST00000216085
APOBEC3D,ENST00000216099
RASL10A,ENST00000216101
HMGXB4,ENST00000216106
BIK,ENST00000216115
HMOX1,ENST00000216117
NIPSNAP1,ENST00000216121
MCM5,ENST00000216122
ARSA,ENST00000216124
RASD2,ENST00000216127
TTLL12,ENST00000216129
CBX7,ENST00000216133
ACR,ENST00000216139
CABP7,ENST00000216144
RPL3,ENST00000216146
SYNGR1,ENST00000328933
TAB1,ENST00000216160
PNPLA5,ENST00000216177
PNPLA3,ENST00000216180
MYH9,ENST00000216181
TXN2,ENST00000216185
FOXRED2,ENST00000397224
EIF3D,ENST00000216190
ADSL,ENST00000216194
PVALB,ENST00000216200
UPK3A,ENST00000216211
FAM118A,ENST00000216214
ST13,ENST00000216218
IL2RB,ENST00000216223
RBX1,ENST00000216225
L3MBTL2,ENST00000216237
CHADL,ENST00000216241
PHF5A,ENST00000216252
ACO2,ENST00000216254
PMM1,ENST00000216259
CERK,ENST00000216264
BRD1,ENST00000216267
ZBED4,ENST00000216268
HDAC10,ENST00000216271
RIPK3,ENST00000216274
PAPOLA,ENST00000216277
HSP90AA1,ENST00000334701
NID2,ENST00000216286
MARK3,ENST00000429436
SNAPC1,ENST00000216294
SUPT16H,ENST00000216297
ABHD4,ENST00000428304
FKBP3,ENST00000216330
CTSG,ENST00000216336
GZMH,ENST00000216338
GZMB,ENST00000216341
PRMT5,ENST00000324366
COCH,ENST00000396618
AP4S1,ENST00000216366
POLE2,ENST00000216367
SOS2,ENST00000216373
CDKL1,ENST00000395834
PYGL,ENST00000216392
GNPNAT1,ENST00000216410
CNIH1,ENST00000216416
CGRRF1,ENST00000216420
ATP6V1D,ENST00000216442
C14orf105,ENST00000216445
PLEK2,ENST00000216446
C14orf166B,ENST00000393774
PIGH,ENST00000216452
PSMA3,ENST00000216455
VTI1B,ENST00000554659
GSTZ1,ENST00000216465
TMED8,ENST00000216468
SAMD15,ENST00000216471
AHSA1,ENST00000216479
ISM2,ENST00000342219
SPTLC2,ENST00000216484
RIN3,ENST00000216487
ALKBH1,ENST00000216489
CHGA,ENST00000216492
DHRS7,ENST00000216500
SIX4,ENST00000216513
CEP128,ENST00000555265
SLC10A1,ENST00000216540
EIF5,ENST00000216554
SLC8A3,ENST00000381269
ZFYVE21,ENST00000216602
MTHFD1,ENST00000216605
BDKRB1,ENST00000216629
VRK1,ENST00000216639
PAPLN,ENST00000340738
APEX1,ENST00000216714
PABPN1,ENST00000216727
EFS,ENST00000216733
CINP,ENST00000216756
SRP54,ENST00000556994
CPNE6,ENST00000397016
PCK2,ENST00000216780
NFKBIA,ENST00000216797
EMC9,ENST00000419198
PSME2,ENST00000216802
BRMS1L,ENST00000216807
PNN,ENST00000216832
RABGGTA,ENST00000399409
CYP24A1,ENST00000216862
PTPRA,ENST00000380393
NSFL1C,ENST00000476071
ZFP64,ENST00000216923
SIRPG,ENST00000303415
GSS,ENST00000216951
PYGB,ENST00000216962
PROCR,ENST00000216968
MYBL2,ENST00000217026
R3HDML,ENST00000217043
PABPC1L,ENST00000255136
SALL4,ENST00000217086
CSTF1,ENST00000217109
TPD52L2,ENST00000217121
ZNF512B,ENST00000450537
CTSZ,ENST00000217131
TUBB1,ENST00000217133
SLCO4A1,ENST00000217159
TCFL5,ENST00000335351
BIRC7,ENST00000217169
UBOX5,ENST00000217173
EEF1A2,ENST00000217182
PTK6,ENST00000217185
SRMS,ENST00000217188
C20orf27,ENST00000217195
ARFRP1,ENST00000359715
TRIB3,ENST00000217233
CSNK2A1,ENST00000217244
MACROD2,ENST00000217246
SLC52A3,ENST00000217254
RSPO4,ENST00000217260
PROKR2,ENST00000546004
FERMT1,ENST00000217289
PDYN,ENST00000217305
TM9SF4,ENST00000398022
TLDC2,ENST00000217320
MROH8,
SNTA1,ENST00000217381
OXT,ENST00000217386
PXMP4,ENST00000409299
CHMP4B,ENST00000217402
LBP,ENST00000217407
SLC32A1,ENST00000217420
CST4,ENST00000217423
WFDC2,ENST00000372676
AHCY,ENST00000217426
SPINT3,ENST00000217428
FAM83D,ENST00000217429
PIGU,ENST00000217446
ACOT8,ENST00000217455
APMAP,ENST00000217456
TXNL1,ENST00000217515
MYL12A,ENST00000217652
RNF125,ENST00000217740
POLI,ENST00000579534
NOX1,ENST00000372966
TAF9,ENST00000328663
IDH3G,ENST00000217901
TKTL1,ENST00000369915
SLC25A43,ENST00000217909
H2BFWT,ENST00000217926
MXRA5,ENST00000217939
VSIG1,ENST00000415430
PSMD10,ENST00000217958
STS,ENST00000217961
TBL1X,ENST00000217964
PGRMC1,ENST00000217971
RHOXF1,ENST00000217999
NXT2,ENST00000218004
GUCY2F,ENST00000218006
ATP1B4,ENST00000218008
TLR8,ENST00000218032
CHRDL1,ENST00000372042
WDR13,ENST00000218056
PAGE4,ENST00000218068
GLRA2,ENST00000218075
STAG2,ENST00000218089
F9,ENST00000218099
ABCD1,ENST00000218104
BCORL1,ENST00000540052
KCND1,ENST00000218176
SLC25A14,ENST00000218197
FMR1,ENST00000370475
PQBP1,ENST00000218224
PCSK1N,ENST00000218230
RAB40AL,ENST00000218249
GPR50,ENST00000218316
HUWE1,ENST00000342160
RP2,ENST00000218340
JADE3,ENST00000218343
USP11,ENST00000218348
HTATSF1,ENST00000535601
TIMP1,ENST00000218388
PIN4,ENST00000373669
ITIH6,ENST00000218436
MAGED2,ENST00000375068
CENPI,ENST00000372927
GLA,ENST00000218516
ATP12A,ENST00000218548
NDFIP2,ENST00000218652
MLNR,ENST00000218721
ACP5,ENST00000592828
ARHGEF7,ENST00000375741
SGCG,ENST00000218867
DHRS12,ENST00000444610
OLFM4,ENST00000219022
ACSM2A,ENST00000573854
NTHL1,ENST00000219066
ZNF263,ENST00000219069
MMP2,ENST00000219070
ZNF205,ENST00000382192
ORC6,ENST00000219097
C16orf70,ENST00000219139
CORO1A,ENST00000219150
ACSM1,ENST00000307493
MT4,ENST00000219162
LYRM1,ENST00000396052
NUTF2,ENST00000219169
CENPT,ENST00000562787
CBLN1,ENST00000219197
ARL2BP,ENST00000219204
PLLP,ENST00000219207
CCL22,ENST00000219235
DHODH,ENST00000219240
CCL17,ENST00000219244
ACD,ENST00000393919
POLR2C,ENST00000219252
PARD6A,ENST00000219255
MMP15,ENST00000219271
USB1,ENST00000219281
CCDC113,ENST00000219299
PRSS54,ENST00000219301
NME3,ENST00000219302
PSMD7,ENST00000219313
SETD6,ENST00000219315
SLC38A7,ENST00000570101
HAS3,ENST00000306560
SMPD3,ENST00000219334
SLC7A6,ENST00000566454
PLA2G15,ENST00000219345
FA2H,ENST00000219368
CMC2,ENST00000219400
PDIA2,ENST00000219406
ARHGDIG,ENST00000219409
MPG,ENST00000219431
HSDL1,ENST00000219439
WFDC1,ENST00000219454
USP10,ENST00000219473
TSC2,ENST00000219476
ZNF500,ENST00000219478
NME4,ENST00000219479
DECR2,ENST00000219481
FAM173A,ENST00000569529
METRN,ENST00000568223
STUB1,ENST00000219548
RHBDL1,ENST00000352681
ZP2,ENST00000574002
MEFV,ENST00000219596
CRYM,ENST00000219599
CAPN15,ENST00000219611
UBFD1,ENST00000395878
AQP8,ENST00000219660
USP31,ENST00000219689
HMOX2,ENST00000570646
TOX3,ENST00000219746
MAZ,ENST00000219782
CDIPT,ENST00000219789
BCKDK,ENST00000394951
KAT8,ENST00000448516
TMC5,ENST00000396229
SLC6A2,ENST00000219833
KNOP1,ENST00000219837
MEIS2,ENST00000561208
MGA,ENST00000219905
AQP9,ENST00000219919
CSK,ENST00000220003
MTFMT,ENST00000220058
RASL12,ENST00000220062
CTSH,ENST00000220166
KIAA1199,ENST00000394685
EHD4,ENST00000220325
TGM5,ENST00000220420
GABPB1,ENST00000220429
BMF,ENST00000354670
SCG3,ENST00000220478
DNAJC17,ENST00000220496
RHOV,ENST00000220507
VPS18,ENST00000220509
OIP5,ENST00000220514
BLOC1S6,ENST00000220531
EXTL3,ENST00000220562
FDFT1,ENST00000220584
AGO2,ENST00000220592
PAG1,ENST00000220597
TG,ENST00000220616
BRF2,ENST00000220659
ZFAND1,ENST00000220669
RP1,ENST00000220676
RIPK2,ENST00000220751
CPQ,ENST00000220763
DECR1,ENST00000220764
SFRP1,ENST00000220772
PLAT,ENST00000220809
DKK4,ENST00000220812
GDAP1,ENST00000220822
PHF20L1,ENST00000395386
EIF3E,ENST00000220849
EMC2,ENST00000220853
WISP1,ENST00000250160
STMN2,ENST00000518111
TRPS1,ENST00000395715
CHRAC1,ENST00000220913
NCALD,ENST00000395923
GML,ENST00000220940
UBR5,ENST00000520539
PYCRL,ENST00000220966
MTMR9,ENST00000221086
DCTN6,ENST00000221114
GSR,ENST00000221130
TNFRSF10A,ENST00000221132
PPP2CB,ENST00000221138
NEFM,ENST00000221166
KCTD9,ENST00000221200
MAPKBP1,ENST00000456763
HOMER3,ENST00000539827
CNOT3,ENST00000406403
EXOSC5,ENST00000221233
PNPLA6,ENST00000414982
PLAUR,ENST00000340093
PAF1,ENST00000221265
STXBP2,ENST00000221283
CYP4F3,ENST00000221307
ZNF432,ENST00000594154
ZNF180,ENST00000221327
FCGBP,ENST00000221347
ZNF780B,ENST00000434248
MAN2B1,ENST00000456935
TULP2,ENST00000221399
DHDH,ENST00000221403
RUVBL2,ENST00000595090
ECH1,ENST00000221418
HNRNPL,ENST00000221419
LHB,ENST00000221421
SARS2,ENST00000600042
KCNA7,ENST00000221444
SNRNP70,ENST00000598441
RELB,ENST00000221452
CLASRP,ENST00000221455
LIN7B,ENST00000221459
PPP1R37,ENST00000221462
FCGRT,ENST00000221466
CKM,ENST00000221476
PEX11G,ENST00000221480
ERCC2,ENST00000391945
SLC17A7,ENST00000221485
RNASEH2A,ENST00000221486
SF3A2,ENST00000221494
AMH,ENST00000221496
DKKL1,ENST00000221498
TRMT1,ENST00000592062
RETN,ENST00000221515
RSPH6A,ENST00000221538
TBC1D17,ENST00000221543
CCDC130,ENST00000586600
PTOV1,ENST00000391842
AES,ENST00000221561
SGTA,ENST00000221566
KIR3DX1,
SNAPC2,ENST00000221573
C19orf53,ENST00000588234
FIZ1,ENST00000221665
C19orf44,ENST00000221671
ZIM2,ENST00000391708
EPHX3,ENST00000221730
ZNF419,ENST00000424930
CASP14,ENST00000427043
SLC1A6,ENST00000221742
POP4,ENST00000585603
PDCD5,ENST00000590247
LGALS13,ENST00000221797
FBL,ENST00000221801
CLC,ENST00000221804
CNTD2,ENST00000430325
EBI3,ENST00000221847
TBCB,ENST00000221855
FSD1,ENST00000221856
POLR2I,ENST00000221859
APLP1,ENST00000221891
CACTIN,ENST00000429344
CCDC9,ENST00000221922
TGFB1,ENST00000221930
ATP5SL,ENST00000417807
CEACAM4,ENST00000221954
PLIN3,ENST00000221957
CD79A,ENST00000221972
LIM2,ENST00000221973
RPS19,ENST00000598742
NKG7,ENST00000221978
ICAM5,ENST00000221980
CEACAM5,ENST00000221992
CRX,ENST00000221996
CEACAM3,ENST00000357396
SULT2A1,ENST00000222002
CDC37,ENST00000222005
RABAC1,ENST00000222008
CNFN,ENST00000222032
ZNRF4,ENST00000222033
SIGLEC5,ENST00000570106
HAS1,ENST00000222115
RAB3D,ENST00000222120
DBP,ENST00000222122
CAPS,ENST00000222125
EPOR,ENST00000222139
RASIP1,ENST00000222145
FGF21,ENST00000593756
WDR83OS,ENST00000596731
CACNG7,ENST00000391767
GCDH,ENST00000222214
DNASE2,ENST00000222219
LENG1,ENST00000222224
RPL18A,ENST00000222247
SLC5A5,ENST00000222248
KCNN1,ENST00000222249
ARRDC2,ENST00000222250
PIK3R2,ENST00000222254
RAB3A,ENST00000222256
PSENEN,ENST00000587708
COMP,ENST00000222271
UPK1A,ENST00000222275
TMEM147,ENST00000222284
GAPDHS,ENST00000222286
HAMP,ENST00000598398
USF2,ENST00000222305
KXD1,ENST00000602094
FKBP8,ENST00000608443
ERF,ENST00000222329
GSK3A,ENST00000222330
ZNF574,ENST00000600245
SIPA1L3,ENST00000222345
CADM4,ENST00000222374
PON1,ENST00000222381
CYP3A43,ENST00000222382
ABCF2,ENST00000222388
HGF,ENST00000222390
LAMB1,ENST00000222399
UBE2D4,ENST00000222402
WNT16,ENST00000222462
CPA2,ENST00000222481
CPA4,ENST00000222482
GTPBP10,ENST00000222511
TFPI2,ENST00000222543
BET1,ENST00000222547
NAMPT,ENST00000222553
TWISTNB,ENST00000222567
PON2,ENST00000222572
ITGB8,ENST00000222573
HBP1,ENST00000222574
SP4,ENST00000222584
CBLL1,ENST00000440859
DLX5,ENST00000222598
MPP6,ENST00000222644
OGDH,ENST00000222673
NPVF,ENST00000222674
H2AFV,ENST00000308153
CAV2,ENST00000222693
